,id_ponto,lat_pred,lon_pred
4056,7332,-8.054056403730891,-34.95192095926115
6176,4468,-8.055779650462263,-34.95274536687697
4121,1019,-8.055273734362736,-34.95048689024885
3044,7743,-8.051846422001349,-34.95042298183099
2984,6803,-8.054576698640657,-34.95180220002115
3658,1085,-8.055027339420846,-34.95058066658111
2664,7844,-8.051006779549057,-34.95677466204889
2845,8488,-8.052184144538653,-34.951936756904416
3032,6350,-8.05505483979541,-34.95133704046276
4894,5767,-8.055900631592584,-34.952774275944414
132,1867,-8.054463769565011,-34.94992961730925
1652,4069,-8.056028670776394,-34.95102656922374
6446,1409,-8.05429175457352,-34.950753883936486
3958,1537,-8.05424495282755,-34.950806576637895
4815,6830,-8.053209681709395,-34.95105933201781
5579,8821,-8.0509230319803,-34.95516871834089
6153,4804,-8.055358445181076,-34.952941570273545
6355,7421,-8.05405462898261,-34.951806309001114
681,2897,-8.05792110974499,-34.951184789457535
1261,5824,-8.055900631592584,-34.952774275944414
3487,4006,-8.055862333259732,-34.951167273145785
4817,6385,-8.055154458000013,-34.95130179946797
3740,459,-8.054698248665641,-34.95154273003652
1921,5805,-8.055900631592584,-34.952774275944414
6279,9447,-8.050695329541933,-34.950585849426204
5114,8312,-8.051425182021266,-34.950870122658245
5213,2147,-8.055436435714142,-34.95036210583873
5517,1868,-8.05423593347515,-34.95003306303761
511,2888,-8.05792110974499,-34.951184789457535
3954,97,-8.055446649754309,-34.95126925481456
1244,184,-8.05514853273044,-34.95137772224943
6727,1528,-8.054219226477128,-34.95075226871254
3317,1522,-8.054219226477128,-34.95075226871254
1509,2462,-8.056978608542094,-34.95160392173484
3075,2188,-8.05377387900822,-34.94964110134909
4774,7742,-8.05212046530548,-34.95002035156917
800,9095,-8.05017010747353,-34.95087606376132
4320,5946,-8.055884722512202,-34.95153842115384
4537,3565,-8.05573089079717,-34.95226649582186
3611,2395,-8.056978608542094,-34.95160392173484
5597,5604,-8.056458632149077,-34.9525764153245
6686,4859,-8.055343092808505,-34.952654955240995
4801,7327,-8.054614509159105,-34.95240723708718
811,6591,-8.054974285457993,-34.95136078407092
5568,614,-8.055225443246277,-34.95135313658205
2627,7203,-8.05291500763645,-34.95173106109925
1669,5359,-8.05581552965909,-34.952796531161354
2728,8413,-8.05179361612223,-34.95063991448325
5216,9203,-8.05025958368767,-34.95038770335508
4215,8147,-8.051730735000962,-34.94704801626094
2345,4370,-8.05598429400293,-34.95080072887387
1721,9623,-8.050759425804406,-34.952177276195975
2057,5210,-8.05550242180113,-34.952907823327564
5994,1296,-8.05406642581485,-34.9508034423567
4628,5789,-8.055900631592584,-34.952774275944414
5551,3241,-8.056422130477271,-34.952556297301754
4209,7616,-8.05293981810943,-34.95921793015712
3159,9366,-8.050831368732727,-34.95031529247598
6739,2558,-8.0566780750621,-34.951710784311985
763,3912,-8.05604859379973,-34.95108779855283
2570,1099,-8.054984042462662,-34.950595983338566
4507,8371,-8.053023796478486,-34.952689586374746
5223,3714,-8.056184643500888,-34.951051737342766
625,1366,-8.054394630697445,-34.95075181519028
6556,1734,-8.054791303440895,-34.94932074036079
2077,803,-8.055517291639275,-34.95046805585009
1181,6394,-8.055055378549099,-34.95135315536689
247,9047,-8.050842697923553,-34.95007337660288
4559,7154,-8.055294865198555,-34.95408011632511
1315,7308,-8.055498924423842,-34.950587966167745
4808,6804,-8.052757601977383,-34.95174922886453
1893,975,-8.055444692355241,-34.95014505815795
2874,7520,-8.052533194831232,-34.95470440692371
4856,5481,-8.054868050844842,-34.953139331311455
4850,1300,-8.054113245938813,-34.950786407238475
3109,5590,-8.056572709752698,-34.95253490912375
5508,2265,-8.053266548960725,-34.94946706808073
5621,6185,-8.055776707856445,-34.95136761071256
970,6503,-8.05427361445098,-34.95120732158816
2589,5497,-8.055472946147287,-34.952921970489896
4304,4066,-8.05603923072831,-34.95100501018043
3145,6071,-8.0553621577537,-34.95169864556924
3606,2901,-8.057914069589188,-34.9511872799872
3573,5808,-8.055900631592584,-34.952774275944414
5907,8007,-8.052048706598658,-34.94963161381255
4383,3562,-8.05572858049479,-34.952274716302924
4280,9165,-8.050492062338112,-34.950829220553715
1737,6273,-8.055284740765357,-34.95124858264247
3014,7779,-8.053202985262486,-34.95332756518233
585,3159,-8.057052060018522,-34.95217205301466
393,2263,-8.053266548960725,-34.94946706808073
549,901,-8.055517291639275,-34.95046805585009
3393,6459,-8.055016119768009,-34.951321725347306
3593,3793,-8.056082477366193,-34.95108890965321
5866,950,-8.055454040463644,-34.95043390556694
5905,9002,-8.051393859831398,-34.9544621734703
1872,1094,-8.054984042462662,-34.950595983338566
1078,8811,-8.050854345419639,-34.95045704509629
472,3280,-8.056492694341898,-34.952449910418416
2124,7366,-8.052869241763457,-34.95325693013913
1566,2185,-8.05377387900822,-34.94964110134909
2206,5097,-8.05550242180113,-34.952907823327564
1832,7707,-8.052814152683515,-34.953446324642464
2966,4266,-8.055991271018408,-34.95078043733227
4047,7224,-8.052864746121317,-34.95327709478311
3470,8103,-8.052296525627822,-34.94600869887746
4270,6579,-8.054974285457993,-34.95136078407092
544,3646,-8.056184643500888,-34.951051737342766
2805,5366,-8.05581552965909,-34.952796531161354
4071,8713,-8.051299585524742,-34.956097574399294
334,7315,-8.054997402332457,-34.950959334139476
2153,8853,-8.052452151807456,-34.95132426235511
5497,2466,-8.056978608542094,-34.95160392173484
476,5196,-8.05550242180113,-34.952907823327564
2477,7416,-8.05126614025254,-34.958247708015676
1400,124,-8.055330177470625,-34.95131163230002
5181,27,-8.055366304109485,-34.95129848791868
6499,1045,-8.055130832555532,-34.950534065225135
1964,6578,-8.054974285457993,-34.95136078407092
4844,5902,-8.0558229759252,-34.95171800129705
2531,7143,-8.055073322930204,-34.95391097330178
5045,4049,-8.055961052681818,-34.951033454621665
169,4421,-8.056360133295456,-34.952534162957505
2550,2873,-8.057901806668827,-34.951240929389314
4880,1286,-8.054035449188833,-34.95073805118127
233,9413,-8.049659285825847,-34.95146350667775
217,2372,-8.056978608542094,-34.95160392173484
2275,5270,-8.056256422487568,-34.952641087600206
5190,6104,-8.05505276369472,-34.95188842558802
994,4347,-8.05598429400293,-34.95080072887387
1786,8092,-8.052055743914279,-34.94768729353586
3400,2011,-8.053875362128696,-34.949265560837254
3463,386,-8.054641398227131,-34.95156295074125
2263,5716,-8.05544583555921,-34.952934469338814
239,4972,-8.05558817141342,-34.95244383885702
5802,4212,-8.055986652729247,-34.950847052059025
2402,6959,-8.053420218435411,-34.957215189882994
6281,7186,-8.055625975930297,-34.952806153240196
2706,7106,-8.054694828977384,-34.95340928129197
4838,6825,-8.054965029685729,-34.95288296556022
61,5935,-8.055884722512202,-34.95153842115384
676,7738,-8.050759442107525,-34.95569507796317
3049,1629,-8.055396785239466,-34.949144107381855
756,4726,-8.055536285416592,-34.95296233939438
5816,1645,-8.054560409477194,-34.949543852651466
429,1174,-8.054607885252642,-34.950729429399075
1362,7110,-8.054651698233076,-34.9498581575519
4890,6813,-8.054747029871445,-34.95235807059702
31,3382,-8.05566474877626,-34.95276640668683
2364,5039,-8.055041249991254,-34.95293727339398
2505,4559,-8.055488975525998,-34.95285112656928
3263,1610,-8.055073735769588,-34.94927377728909
3718,5661,-8.055280937929572,-34.95299403482657
2642,3613,-8.055487278092498,-34.952362496125346
4697,9278,-8.050433269501031,-34.95389751968131
3151,4545,-8.055279802287002,-34.95292723253727
5201,4005,-8.055862333259732,-34.951167273145785
6598,3581,-8.055551502639194,-34.95233671681974
2715,2329,-8.053795143375025,-34.949692241741964
5404,7813,-8.051333598162943,-34.9491587275069
1039,1912,-8.053789137314862,-34.94942913040224
2521,8470,-8.051624686679492,-34.951688980820876
17,7161,-8.052387303649144,-34.94957397737026
96,3126,-8.057030384035206,-34.952179939643464
1954,6968,-8.05401784518954,-34.95873974500278
5858,7326,-8.055194878331289,-34.95186492176197
6042,9326,-8.049181332497168,-34.9552124796683
2519,5723,-8.055376844000886,-34.95295957135165
6147,7418,-8.051753691187855,-34.96035742291136
5417,8213,-8.05156429444741,-34.948291571871174
1582,983,-8.055306234433113,-34.950468381941846
1902,9136,-8.051171785943232,-34.951921859572344
3438,3500,-8.05561777286808,-34.95231503274939
3274,5113,-8.05550242180113,-34.952907823327564
6092,6881,-8.055918887014817,-34.95659467673081
2388,4739,-8.056025756191106,-34.95272901577505
5679,74,-8.055446649754309,-34.95126925481456
4151,3390,-8.05558339768378,-34.952799060473936
5941,1828,-8.05401481950198,-34.94939151362486
6549,2385,-8.056978608542094,-34.95160392173484
2688,9578,-8.052623815309996,-34.952422901197124
4630,3287,-8.056492694341898,-34.952449910418416
80,3918,-8.056497162550547,-34.95090482118813
5174,5543,-8.055523639426704,-34.95290539452792
3639,5443,-8.056297313404924,-34.952630707708025
435,7349,-8.052814095164262,-34.959995912838416
1620,7497,-8.05153836566897,-34.95754077007436
2542,3922,-8.055932854457367,-34.95122621945222
3605,5611,-8.056458632149077,-34.9525764153245
5100,4585,-8.055473266602215,-34.9528656449501
752,8648,-8.051607834310493,-34.953264604684136
742,9206,-8.048298641432082,-34.95365293418083
4667,4576,-8.055023706708248,-34.953029213631574
1650,6414,-8.055055378549099,-34.95135315536689
93,7942,-8.051615163949808,-34.94882041958521
6500,3446,-8.055466173966007,-34.952841711362524
3822,8093,-8.051082787072678,-34.95409422364995
408,7765,-8.053151338028506,-34.95331352663827
6267,4491,-8.055782685099926,-34.952744262748936
37,2508,-8.056924480515185,-34.951623615773634
3412,3361,-8.055726655384609,-34.95274388247495
4176,1080,-8.0552285118729,-34.95050949969587
3809,9217,-8.050442870280536,-34.95037060381533
5891,5142,-8.05550242180113,-34.952907823327564
1115,170,-8.055390725717354,-34.95128960231688
5890,4670,-8.055680254594991,-34.95280435644335
5601,338,-8.054822871596672,-34.951495809876754
3024,8264,-8.050734551839293,-34.94882428592206
3047,6657,-8.054046426080976,-34.952414018731666
6193,6190,-8.055776707856445,-34.95136761071256
2499,139,-8.055330177470625,-34.95131163230002
473,8358,-8.051380752099842,-34.95204766053657
2718,5042,-8.055041249991254,-34.95293727339398
6655,1028,-8.055273734362736,-34.95048689024885
798,889,-8.056076045195526,-34.950243775891245
2942,4063,-8.055961052681818,-34.951033454621665
263,351,-8.054822871596672,-34.951495809876754
4102,3471,-8.055501545458522,-34.952831173074834
4526,6928,-8.053552670575957,-34.95133741780934
2534,389,-8.054223340762249,-34.951715057522186
4317,7128,-8.055365298052873,-34.95254216300917
2375,3751,-8.056144904198142,-34.951066196162245
3940,8726,-8.051133874963012,-34.95511091172412
5667,645,-8.05485001521525,-34.951489732993
5978,2472,-8.056978608542094,-34.95160392173484
6268,7266,-8.053672045053352,-34.95050555117159
2284,7356,-8.05378105861711,-34.95244880918554
4567,1884,-8.054348998815533,-34.94982693598624
23,4315,-8.05598429400293,-34.95080072887387
3197,7055,-8.054166446045645,-34.959849113424106
1789,7458,-8.054566502445208,-34.95171646858531
6604,3304,-8.056252106698011,-34.952550033101666
4196,697,-8.054281512468211,-34.951690763822285
5168,9011,-8.050760388207529,-34.947257501774516
5036,1863,-8.054353483961021,-34.95001448935642
3492,6642,-8.054290337029954,-34.95179222209744
5089,3868,-8.055685674236582,-34.95126478974458
5046,6257,-8.0557678071963,-34.951060836579785
4006,3737,-8.056184643500888,-34.951051737342766
1671,7556,-8.053200189213504,-34.951576785841915
5143,1307,-8.054113245938813,-34.950786407238475
833,6513,-8.054696239186798,-34.951452017966126
1807,3103,-8.056886628913857,-34.952232243765714
2377,4017,-8.055794261047081,-34.95115693844539
6705,3843,-8.055901002329424,-34.951131341146
468,1092,-8.054984042462662,-34.950595983338566
3833,1594,-8.054254403323624,-34.95082652648803
3704,9036,-8.051479636619344,-34.95053398915379
5936,3744,-8.056144904198142,-34.951066196162245
1426,5980,-8.056176116830997,-34.95102047591704
2370,6221,-8.055885898148714,-34.95105004808643
2881,3431,-8.055466173966007,-34.952841711362524
538,7733,-8.053287454075981,-34.958351160438866
4707,632,-8.055066197022185,-34.951411077015024
1485,2091,-8.055158281945051,-34.94991962186539
1662,5909,-8.055836581105387,-34.95167843279092
3872,9123,-8.050678820028743,-34.95024385354702
5820,1792,-8.053849730126903,-34.94954148706176
6252,8924,-8.05114341735268,-34.951911630521025
6540,8815,-8.051855255846997,-34.95329675968066
3550,5668,-8.055323706876072,-34.95297890485884
6414,6457,-8.055016119768009,-34.951321725347306
4712,4406,-8.05622986063573,-34.95258156159664
6720,7513,-8.054496449113886,-34.95200882078559
3886,6710,-8.055747677497287,-34.951728142691614
6461,8319,-8.050752237717669,-34.94916714469373
3360,8144,-8.050333206719708,-34.94628746583059
5523,7511,-8.053066230301779,-34.95396062118194
1535,8064,-8.05138544536983,-34.94799780071422
561,8095,-8.052166151778477,-34.95149246577976
3148,2158,-8.055347181029006,-34.950173690587484
5285,4790,-8.055361980783905,-34.95295880524965
1009,5003,-8.055338476032802,-34.95253521083349
4299,2544,-8.056924480515185,-34.951623615773634
4689,8681,-8.051139800994898,-34.9527841138762
4837,2631,-8.057495102313801,-34.95142112043428
2742,6987,-8.053015201481616,-34.95147049133306
1195,8599,-8.052632428770568,-34.95082586640779
706,7341,-8.054771746766605,-34.952812019095255
2926,2207,-8.053675173827012,-34.949432736247715
6578,4218,-8.055986652729247,-34.950847052059025
3946,7993,-8.052093314774993,-34.94946014812836
1782,4405,-8.05622986063573,-34.95258156159664
3411,2980,-8.057632407921526,-34.951260917651865
6594,3696,-8.056184643500888,-34.951051737342766
5363,959,-8.055356786150078,-34.950472942801156
2301,3278,-8.056405817000767,-34.95248152002668
1425,3962,-8.055803658642787,-34.95132149810459
828,2181,-8.053767578677505,-34.949627801449
4781,4008,-8.055740313405495,-34.95117320421056
5555,6640,-8.053492016849107,-34.95179163454537
2155,8677,-8.051352814165668,-34.953465522661254
534,8589,-8.053786245198776,-34.95283024211406
3710,4365,-8.05598429400293,-34.95080072887387
1487,8988,-8.05097712582807,-34.951225651071624
6758,5734,-8.055376844000886,-34.95295957135165
3770,4578,-8.055410839770266,-34.952888358441065
1835,4126,-8.055832346844017,-34.95107598768606
1212,1423,-8.054014415819854,-34.95084612021028
2107,4814,-8.055306790886101,-34.95268977147631
1022,6942,-8.053387360867514,-34.953834119572235
6474,301,-8.05527584300578,-34.951331401449565
5510,7274,-8.054306530849763,-34.950711029112476
5389,988,-8.055267401519702,-34.950483969214844
5433,4543,-8.055506533072485,-34.952844738399946
2789,9042,-8.051019282092446,-34.95042203729532
1057,1966,-8.054627144598578,-34.94942635916085
79,1703,-8.05501276949757,-34.94940600588492
4216,2547,-8.057082884020739,-34.95156757885612
3488,9583,-8.051702634949677,-34.950638872356116
1047,2699,-8.05702446789841,-34.95158761234253
6056,6090,-8.05552096064013,-34.951700494450094
1595,9092,-8.051043055479616,-34.95025494417266
586,1489,-8.054097986253815,-34.95062474927126
838,5956,-8.055884722512202,-34.95153842115384
5418,2752,-8.057373072551973,-34.951455897928184
1926,6752,-8.055366924096882,-34.95193822468053
4950,2863,-8.057875406084568,-34.95125026887556
3428,8309,-8.051677077447291,-34.95551264897216
4660,7642,-8.05320292867684,-34.950905266226776
1840,8999,-8.051243881177177,-34.953085242528495
1242,2209,-8.053675173827012,-34.949432736247715
2498,1424,-8.054200695568362,-34.95079076462539
5309,3144,-8.057030384035206,-34.952179939643464
4489,5542,-8.055523639426704,-34.95290539452792
957,672,-8.05502736668865,-34.95142690999355
2641,2749,-8.057373072551973,-34.951455897928184
2893,8339,-8.052149519605235,-34.95001082273771
1183,7309,-8.05509949679756,-34.95147600188551
6090,6241,-8.055753329889178,-34.95110294152862
3578,6634,-8.053896064476259,-34.95208062858506
5026,9323,-8.048627583903027,-34.95455256634755
381,2514,-8.056924480515185,-34.951623615773634
1876,3135,-8.057030384035206,-34.952179939643464
1465,2206,-8.053675173827012,-34.949432736247715
324,3106,-8.057058476109583,-34.95216971857253
3357,6460,-8.055016119768009,-34.951321725347306
4059,9135,-8.049881037477661,-34.950489065556475
620,4863,-8.055343092808505,-34.952654955240995
5930,2060,-8.055310788446596,-34.95031030551336
2227,8733,-8.051116194753835,-34.95272732879861
469,5680,-8.055323706876072,-34.95297890485884
5359,2946,-8.056733155864677,-34.951627739928064
3214,6590,-8.054974285457993,-34.95136078407092
5783,9240,-8.04942025635567,-34.95230350770151
3353,785,-8.055023595176612,-34.95142824420587
1886,5309,-8.055432724258687,-34.95293247957127
3125,7157,-8.055096021684298,-34.95302191904731
5425,277,-8.055457487745967,-34.95126531150016
1941,8329,-8.051908055037117,-34.95210527934589
2440,5253,-8.056256422487568,-34.952641087600206
712,2226,-8.053392030547476,-34.94973195775748
457,1118,-8.054819438846101,-34.950634006044424
3765,1958,-8.054547068178994,-34.949523224342144
6094,4673,-8.055680254594991,-34.95280435644335
1412,2197,-8.05386615163128,-34.94922516515703
491,6620,-8.053823945130445,-34.95165025839375
1578,7358,-8.054540491561038,-34.95147825447608
3671,2269,-8.053266548960725,-34.94946706808073
88,6429,-8.055016119768009,-34.951321725347306
4273,6684,-8.054064747447628,-34.95198397264293
3256,8326,-8.052596133008766,-34.95665618331209
5304,2430,-8.056978608542094,-34.95160392173484
5738,7221,-8.053386872322864,-34.95128149200215
156,4661,-8.055680254594991,-34.95280435644335
6708,7555,-8.0527498937694,-34.95537477190388
4318,6267,-8.0557678071963,-34.951060836579785
1079,8695,-8.05221670100259,-34.95302010356327
6712,8226,-8.052573020613286,-34.94851018506526
1973,991,-8.055267401519702,-34.950483969214844
5002,3173,-8.056684508203983,-34.95231485183691
2907,7831,-8.052694587341664,-34.953597519966046
4863,3957,-8.055992591532819,-34.95110608912865
1219,9503,-8.052004865180411,-34.95253535334347
1175,7522,-8.052352613943166,-34.95152217417334
198,1632,-8.055012412787097,-34.94945212544585
3269,8676,-8.052555002648162,-34.953359687300704
2446,2195,-8.053714550893982,-34.94951586062326
73,5687,-8.055323706876072,-34.95297890485884
1046,4860,-8.055343092808505,-34.952654955240995
1149,5446,-8.056297313404924,-34.952630707708025
1452,9624,-8.048833071020974,-34.951208740698306
4315,2837,-8.056926393082405,-34.9515859922747
1075,2853,-8.057111549180007,-34.95152049134445
3025,6058,-8.055626432543193,-34.95139535624441
1760,4482,-8.05569706496583,-34.95277541493273
6336,4000,-8.055862333259732,-34.951167273145785
960,5914,-8.055836581105387,-34.95167843279092
3164,8764,-8.051056617768463,-34.95489815687707
4381,5380,-8.056213978248675,-34.95265728645417
4773,1241,-8.054229547900407,-34.950823696083866
2818,2001,-8.054296944714432,-34.94963555060614
535,6699,-8.055659473256206,-34.95134701415459
6226,7419,-8.053914927543277,-34.95244760555397
1034,6126,-8.055428915644908,-34.95151169309326
3996,3652,-8.056184643500888,-34.951051737342766
5065,1364,-8.054394630697445,-34.95075181519028
4041,9511,-8.04883216919317,-34.953790384243526
5482,9006,-8.049354131290155,-34.951149729921035
1423,6836,-8.055056361773863,-34.95226085985686
5589,8238,-8.052328016883232,-34.946954047896526
2272,3927,-8.055989635125112,-34.95110925018319
2943,8656,-8.051580381653553,-34.95290934216054
2091,3163,-8.057036973534133,-34.9521775421083
1916,1319,-8.054270593420997,-34.950730743900415
1562,4298,-8.05598429400293,-34.95080072887387
1561,5474,-8.055219697225604,-34.95301138765897
3803,4571,-8.055410839770266,-34.952888358441065
2083,8169,-8.051800936084128,-34.95256438979001
5696,2106,-8.055230993981661,-34.950031980423475
6458,6709,-8.055945626085945,-34.95173490740954
5038,4683,-8.055966733741624,-34.952704722424485
1643,6826,-8.056163378364511,-34.95429223845176
842,7873,-8.050598232644612,-34.94981563324237
2471,4664,-8.055680254594991,-34.95280435644335
5250,6675,-8.05409713611294,-34.95187456181763
5653,8671,-8.051573206019048,-34.952515153423384
208,4817,-8.055306790886101,-34.95268977147631
1197,7676,-8.051530563769644,-34.950056869003554
5975,1761,-8.054561887677083,-34.949372367657425
2095,43,-8.055366304109485,-34.95129848791868
5654,4788,-8.055361980783905,-34.95295880524965
5623,60,-8.055366304109485,-34.95129848791868
547,8390,-8.053072470430285,-34.95580950324433
6361,2744,-8.057373072551973,-34.951455897928184
1176,3861,-8.055792061708022,-34.95117828975721
6569,1930,-8.054132299636791,-34.94940321062973
3303,2834,-8.056926393082405,-34.9515859922747
6602,5232,-8.055644456944444,-34.95285757689153
1533,5882,-8.055809370745013,-34.951757569803185
4035,2014,-8.053795915839586,-34.94929530117705
2653,4059,-8.055961052681818,-34.951033454621665
6478,3444,-8.055466173966007,-34.952841711362524
6479,1069,-8.055027339420846,-34.95058066658111
1297,5709,-8.05544583555921,-34.952934469338814
1545,890,-8.055517291639275,-34.95046805585009
4641,243,-8.05531009105942,-34.95131894057605
1483,4240,-8.05598429400293,-34.95080072887387
4908,4565,-8.055440204563538,-34.9528688714841
401,8136,-8.050659758863736,-34.94793864464931
3370,4458,-8.05572524374414,-34.95276516231528
3196,2694,-8.05702446789841,-34.95158761234253
3080,8494,-8.051696318814244,-34.952439257532966
3826,3864,-8.055770897654684,-34.95118772054139
4248,5926,-8.055884722512202,-34.95153842115384
3132,7597,-8.053085300833725,-34.96013050324125
4180,2085,-8.055091555885678,-34.949740948397704
4048,4713,-8.05564043687985,-34.952932126466585
5020,8602,-8.051255049518499,-34.95434700195048
5176,2046,-8.055261472241654,-34.95024931026115
6315,3974,-8.055886688975384,-34.95111661971549
5473,3020,-8.0572791729147,-34.95140270383274
2574,2292,-8.053522575032607,-34.94979920961044
5620,8644,-8.052438387318865,-34.95309086993099
3971,5800,-8.055900631592584,-34.952774275944414
2441,7337,-8.055675186090392,-34.95239828537711
1544,5044,-8.055041249991254,-34.95293727339398
4025,2643,-8.057666882115381,-34.9513603515104
1281,7438,-8.054707414355171,-34.952561206952836
4995,7761,-8.052782985344242,-34.958156363569984
1406,598,-8.055402553451536,-34.95129048197143
5582,4430,-8.05616743380378,-34.9526042750876
3153,2422,-8.056978608542094,-34.95160392173484
2348,1361,-8.054394630697445,-34.95075181519028
6245,953,-8.055514411537539,-34.950409673019664
4441,424,-8.054478595804605,-34.95162043456214
2705,9298,-8.04924371848072,-34.95448704177751
6756,466,-8.054839431570304,-34.951491361794226
4595,1960,-8.054520328951154,-34.94948503863137
296,8448,-8.052450395388124,-34.95158870208755
921,5851,-8.05592396822428,-34.951424281232306
1038,1292,-8.05406642581485,-34.9508034423567
2299,3074,-8.056893391820651,-34.952229783137525
5351,8739,-8.051281540330374,-34.953282468668284
5271,4540,-8.055528425815634,-34.95283677290485
4716,8431,-8.051821992207259,-34.95201927981773
1961,5117,-8.05550242180113,-34.952907823327564
3621,7558,-8.052223849278564,-34.95574558740448
3347,8613,-8.052433160102833,-34.95463521749403
5698,1387,-8.05429175457352,-34.950753883936486
5379,3056,-8.056990326818038,-34.952194514133495
6289,2914,-8.058010406409231,-34.951148611028785
6285,9221,-8.049220144314678,-34.95102338424661
1732,327,-8.055120444540837,-34.95138799817861
4884,2137,-8.055235087645027,-34.949937063198426
346,1212,-8.05428759944125,-34.95080988970362
5192,4599,-8.055720372812015,-34.9527757373817
642,8376,-8.053636979872099,-34.94981056298653
4122,5066,-8.054722048058668,-34.95303212863089
3540,9197,-8.050761488287819,-34.94972616511787
6116,716,-8.055023595176612,-34.95142824420587
3235,2384,-8.056978608542094,-34.95160392173484
5886,1248,-8.054242748192538,-34.95081902634074
465,787,-8.055023595176612,-34.95142824420587
1221,6196,-8.056128074581471,-34.95126319726596
2415,6958,-8.054089814392752,-34.95205034363754
2252,7367,-8.052282032876452,-34.95274996533375
5306,3911,-8.05604859379973,-34.95108779855283
157,6712,-8.055222461526743,-34.95148467239307
351,7260,-8.05254297691927,-34.95331624479998
982,2623,-8.057495102313801,-34.95142112043428
2002,8703,-8.051552863659843,-34.94832976259693
4706,2102,-8.055214718127313,-34.94999762234825
1407,2123,-8.055397058647172,-34.95027898146318
