ponto_id,rssi_1_1,rssi_1_2,rssi_1_3,rssi_2_1,rssi_2_2,rssi_2_3,rssi_3_1,rssi_3_2,rssi_3_3,delay_1,delay_2,delay_3,lat,lon,indoor
1433,-109.088.333.333.333,-107.2,-107.148.571.428.571,-1.089.875,-104.902.857.142.857,-104.271.428.571.429,-104.68,-106.02,-115.0,5.0,3.0,2.0,-805.538,-34.951.736,TRUE
2582,-115.0,-115.0,-115.0,-115.0,-96.33,-9.266.833.333.333.330,-820.566.666.666.667,-782.614.285.714.286,-115.0,5.0,3.0,3.0,-8.055.684,-34.951.331,TRUE
1302,-109.088.333.333.333,-107.2,-107.01,-108.43,-106.015.714.285.714,-103.524.285.714.286,-103.19,-102.96,-115.0,5.0,3.0,2.0,-805.538,-34.951.736,TRUE
6070,-103.705,-110.425,-107.381.666.666.667,-110.33,-98.535,-94.52,-98.33,-99.005,-115.0,5.0,3.0,2.0,-8.055.786,-34.951.505,TRUE
6226,-103.705,-110.425,-107.381.666.666.667,-110.33,-97.085,-104.73,-102.89,-99.57,-115.0,5.0,3.0,2.0,-8.055.786,-34.951.505,TRUE
4011,-106.07,-115.0,-106.67,-104.161.666.666.667,-968.357.142.857.143,-939.433.333.333.333,-982.514.285.714.286,-97.455,-115.0,5.0,3.0,2.0,-8.055.424,-34.951.597,TRUE
1221,-109.088.333.333.333,-107.2,-107.01,-108.43,-105.245.714.285.714,-101.652.857.142.857,-103.065,-102.11,-115.0,5.0,3.0,2.0,-805.538,-34.951.736,TRUE
2548,-115.0,-115.0,-115.0,-115.0,-96.33,-9.266.833.333.333.330,-839.533.333.333.333,-789.842.857.142.857,-115.0,5.0,3.0,3.0,-8.055.684,-34.951.331,TRUE
750,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-97.8,-93.86,-115.0,5.0,3.0,2.0,-8.055.605,-34.951.728,TRUE
437,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-899.542.857.142.857,-931.633.333.333.333,-115.0,5.0,3.0,2.0,-8.055.605,-34.951.728,TRUE
4053,-106.07,-115.0,-106.67,-104.161.666.666.667,-985.457.142.857.143,-95.5,-97.04,-959.516.666.666.667,-115.0,5.0,3.0,2.0,-8.055.424,-34.951.597,TRUE
6438,-103.705,-110.425,-107.381.666.666.667,-110.33,-104.38,-106.59,-102.726.666.666.667,-102.12,-115.0,5.0,3.0,2.0,-8.055.786,-34.951.505,TRUE
2847,-115.0,-115.0,-115.0,-115.0,-96.33,-934.833.333.333.333,-81.58,-782.614.285.714.286,-115.0,5.0,3.0,3.0,-8.055.684,-34.951.331,TRUE
1173,-109.088.333.333.333,-107.2,-107.01,-108.43,-102.202.857.142.857,-100.335.714.285.714,-103.065,-102.11,-115.0,5.0,3.0,2.0,-805.538,-34.951.736,TRUE
6972,-938.242.857.142.857,-9.710.285.714.285.700,-90.22,-96.455,-926.075,-93.53,-79.755,-76.532,-92.41,5.0,4.0,1.0,-8.055.710.000.000.000,-34.955.009.999.999.900,FALSE
3955,-106.07,-115.0,-106.67,-104.161.666.666.667,-9.693.857.142.857.140,-93.39,-978.942.857.142.857,-955.016.666.666.667,-115.0,5.0,3.0,2.0,-8.055.424,-34.951.597,TRUE
3352,-100.83,-115.0,-98.56,-115.0,-997.733.333.333.333,-9.784.571.428.571.430,-99.255,-95.238,-115.0,5.0,3.0,3.0,-8.055.833.999.999.990,-34.951.362,TRUE
9238,-102.25,-8.879.476.190.476.190,-97.515,-82.75,-98.645,-9.748.303.571.428.560,-965.633.333.333.333,-101.648,-96.56,3.0,2.0,6.0,-804.846,-3.494.698,FALSE
4309,-106.07,-115.0,-106.67,-104.161.666.666.667,-9.794.714.285.714.290,-99.5,-9.923.571.428.571.430,-971.633.333.333.333,-115.0,5.0,3.0,2.0,-8.055.424,-34.951.597,TRUE
2481,-115.0,-115.0,-115.0,-115.0,-96.33,-9.266.833.333.333.330,-824.533.333.333.333,-78.36,-115.0,5.0,3.0,3.0,-8.055.684,-34.951.331,TRUE
4048,-106.07,-115.0,-106.67,-104.161.666.666.667,-985.457.142.857.143,-95.79,-9.957.142.857.142.850,-959.516.666.666.667,-115.0,5.0,3.0,2.0,-8.055.424,-34.951.597,TRUE
8119,-93.58,-97.9,-8.986.857.142.857.140,-78.75,-913.325,-8.761.142.857.142.850,-95.53,-95.396,-93.46,4.0,2.0,3.0,-8.052.019.999.999.990,-3.495.066,FALSE
2706,-115.0,-115.0,-115.0,-115.0,-96.33,-9.266.833.333.333.330,-82.41,-782.614.285.714.286,-115.0,5.0,3.0,3.0,-8.055.684,-34.951.331,TRUE
5935,-103.705,-110.425,-107.381.666.666.667,-110.33,-93.58,-93.27,-96.76,-98.155,-115.0,5.0,3.0,2.0,-8.055.786,-34.951.505,TRUE
326,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-909.828.571.428.571,-870.133.333.333.333,-115.0,5.0,3.0,2.0,-8.055.605,-34.951.728,TRUE
1039,-109.088.333.333.333,-107.2,-107.01,-108.43,-993.342.857.142.857,-100.148.571.428.571,-103.475,-98.24,-115.0,5.0,3.0,2.0,-805.538,-34.951.736,TRUE
7709,-8.686.142.857.142.850,-9.637.857.142.857.140,-8.999.285.714.285.700,-101.301.666.666.667,-100.04,-9.770.857.142.857.140,-66.855,-86.44,-88.47,5.0,5.0,1.0,-805.353,-3.495.576,FALSE
9008,-8.297.714.285.714.290,-87.02,-84.51,-89.52,-91.55,-87.52,-918.966.666.666.667,-98.94,-967.675,2.0,4.0,3.0,-804.914,-3.495.301,FALSE
2499,-115.0,-115.0,-115.0,-115.0,-96.33,-9.266.833.333.333.330,-824.533.333.333.333,-789.842.857.142.857,-115.0,5.0,3.0,3.0,-8.055.684,-34.951.331,TRUE
7839,-95.73,-9.668.857.142.857.140,-889.332.142.857.143,-100.57,-102.53,-959.528.571.428.571,-984.983.333.333.333,-99.518,-97.765,4.0,4.0,2.0,-805.284,-3.495.384,FALSE
2861,-115.0,-115.0,-115.0,-115.0,-96.33,-934.833.333.333.333,-871.033.333.333.333,-782.614.285.714.286,-115.0,5.0,3.0,3.0,-8.055.684,-34.951.331,TRUE
1870,-98.748,-99.67,-98.61,-100.51,-894.275,-886.742.857.142.857,-100.03,-99.21,-115.0,5.0,3.0,3.0,-8.055.494,-34.951.316,TRUE
8462,-90.66,-905.728.571.428.572,-853.128.571.428.572,-91.53,-88.7,-91.72,-920.083.333.333.333,-93.176,-951.975,3.0,3.0,3.0,-805.135,-349.515,FALSE
8012,-8.622.714.285.714.290,-872.142.857.142.857,-878.857.142.857.143,-63.04,-8.147.125,-8.342.142.857.142.850,-897.716.666.666.667,-90.792,-97.6,4.0,1.0,4.0,-805.222,-3.494.809,FALSE
534,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-91.13,-89.625,-115.0,5.0,3.0,2.0,-8.055.605,-34.951.728,TRUE
5687,-105.225,-115.0,-105.21,-115.0,-105.835,-115.0,-93.005,-9.772.714.285.714.290,-108.12,5.0,3.0,2.0,-8.055.784,-34.951.608,TRUE
8625,-961.642.857.142.857,-97.9,-94.76,-65.19,-84.57,-918.171.428.571.428,-96.955,-97.98,-989.125,3.0,1.0,5.0,-805.071,-349.477,FALSE
585,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-9.579.857.142.857.140,-89.625,-115.0,5.0,3.0,2.0,-8.055.605,-34.951.728,TRUE
9595,-892.671.428.571.429,-926.825,-94.9,-92.28,-909.375,-89.28,-870.581.666.666.667,-79.366,-96.92,3.0,3.0,7.0,-804.647,-3.494.539,FALSE
4128,-106.07,-115.0,-106.67,-104.161.666.666.667,-979.471.428.571.428,-95.5,-99.94,-967.116.666.666.667,-115.0,5.0,3.0,2.0,-8.055.424,-34.951.597,TRUE
5007,-103.116.666.666.667,-115.0,-104.04,-115.0,-102.425,-98.425,-96.98,-995.725,-115.0,5.0,3.0,2.0,-8.055.506,-34.951.693,TRUE
1703,-98.748,-99.67,-98.61,-95.98,-81.925,-822.014.285.714.286,-100.03,-95.755,-115.0,5.0,3.0,3.0,-8.055.494,-34.951.316,TRUE
3918,-106.07,-115.0,-106.67,-104.161.666.666.667,-93.29,-93.39,-978.142.857.142.857,-94.99,-115.0,5.0,3.0,2.0,-8.055.424,-34.951.597,TRUE
5905,-103.705,-110.425,-107.381.666.666.667,-110.33,-93.58,-90.51,-96.76,-98.155,-115.0,5.0,3.0,2.0,-8.055.786,-34.951.505,TRUE
491,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-920.342.857.142.857,-90.7,-115.0,5.0,3.0,2.0,-8.055.605,-34.951.728,TRUE
5627,-105.225,-115.0,-105.21,-115.0,-105.835,-115.0,-91.445,-98.55,-108.12,5.0,3.0,2.0,-8.055.784,-34.951.608,TRUE
5107,-105.225,-115.0,-105.21,-115.0,-105.835,-115.0,-87.315,-8.873.571.428.571.430,-108.12,5.0,3.0,2.0,-8.055.784,-34.951.608,TRUE
2836,-115.0,-115.0,-115.0,-115.0,-96.33,-934.833.333.333.333,-817.433.333.333.333,-782.614.285.714.286,-115.0,5.0,3.0,3.0,-8.055.684,-34.951.331,TRUE
2266,-98.748,-97.35,-99.592,-96.86,-91.935,-9.251.428.571.428.560,-100.03,-101.03,-115.0,5.0,3.0,3.0,-8.055.494,-34.951.316,TRUE
7794,-80.33,-963.728.571.428.571,-95.91,-100.311.428.571.429,-961.425,-9.564.714.285.714.290,-60.47,-85.818,-86.66,4.0,5.0,1.0,-805.305,-3.495.562,FALSE
6429,-103.705,-110.425,-107.381.666.666.667,-110.33,-104.38,-106.59,-102.726.666.666.667,-102.12,-115.0,5.0,3.0,2.0,-8.055.786,-34.951.505,TRUE
6041,-103.705,-110.425,-107.381.666.666.667,-110.33,-90.51,-99.03,-98.33,-98.155,-115.0,5.0,3.0,2.0,-8.055.786,-34.951.505,TRUE
7803,-8.681.857.142.857.140,-886.757.142.857.143,-8.907.285.714.285.700,-68.29,-820.125,-80.86,-902.516.666.666.667,-91.176,-97.255,4.0,1.0,4.0,-805.299,-3.494.873,FALSE
6999,-9.491.125,-961.742.857.142.857,-918.085.714.285.714,-99.79,-94.97,-91.45,-775.566.666.666.667,-71.778,-92.655,5.0,4.0,1.0,-805.565,-3.495.389,FALSE
2900,-115.0,-115.0,-115.0,-115.0,-96.33,-94.59,-91.285,-782.614.285.714.286,-115.0,5.0,3.0,3.0,-8.055.684,-34.951.331,TRUE
7942,-92.16,-8.697.285.714.285.720,-895.042.857.142.857,-70.08,-785.975,-84.27,-87.08,-93.01,-97.255,4.0,1.0,4.0,-805.233,-3.494.836,FALSE
2944,-115.0,-115.0,-115.0,-115.0,-100.04,-94.59,-842.433.333.333.333,-782.614.285.714.286,-115.0,5.0,3.0,3.0,-8.055.684,-34.951.331,TRUE
1916,-98.748,-99.67,-98.61,-95.6,-912.725,-907.471.428.571.428,-100.03,-99.21,-115.0,5.0,3.0,3.0,-8.055.494,-34.951.316,TRUE
3126,-103.04,-115.0,-98.56,-115.0,-917.266.666.666.666,-956.157.142.857.143,-99.255,-93.51,-115.0,5.0,3.0,3.0,-8.055.833.999.999.990,-34.951.362,TRUE
5403,-105.225,-115.0,-105.21,-115.0,-105.835,-115.0,-92.035,-921.357.142.857.143,-108.12,5.0,3.0,2.0,-8.055.784,-34.951.608,TRUE
6753,-85.72,-9.598.857.142.857.140,-897.142.857.142.857,-987.883.333.333.333,-89.5,-9.260.142.857.142.850,-932.233.333.333.333,-73.742,-89.66,6.0,4.0,1.0,-805.713,-3.495.415,FALSE
3813,-106.07,-115.0,-106.67,-104.161.666.666.667,-962.228.571.428.571,-92.92,-97.43,-932.766.666.666.667,-115.0,5.0,3.0,2.0,-8.055.424,-34.951.597,TRUE
9636,-9.527.928.571.428.560,-8.781.857.142.857.140,-941.016.666.666.667,-95.48,-103.015,-9.143.857.142.857.140,-91.69,-8.500.399.999.999.990,-946.125,2.0,3.0,6.0,-8.046.439.999.999.990,-3.494.671,FALSE
3991,-106.07,-115.0,-106.67,-104.161.666.666.667,-968.357.142.857.143,-923.666.666.666.667,-982.514.285.714.286,-969.516.666.666.667,-115.0,5.0,3.0,2.0,-8.055.424,-34.951.597,TRUE
8284,-9.267.857.142.857.140,-9.406.571.428.571.430,-899.242.857.142.857,-58.5,-723.875,-82.44,-93.62,-97.924,-97.6,4.0,1.0,4.0,-805.178,-3.494.783,FALSE
2518,-115.0,-115.0,-115.0,-115.0,-96.33,-9.266.833.333.333.330,-824.533.333.333.333,-789.842.857.142.857,-115.0,5.0,3.0,3.0,-8.055.684,-34.951.331,TRUE
397,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-91.24,-932.883.333.333.333,-115.0,5.0,3.0,2.0,-8.055.605,-34.951.728,TRUE
1317,-109.088.333.333.333,-107.2,-107.01,-108.43,-106.015.714.285.714,-103.524.285.714.286,-104.68,-102.96,-115.0,5.0,3.0,2.0,-805.538,-34.951.736,TRUE
4665,-101.28,-115.0,-100.06,-115.0,-98.615,-96.1,-94.42,-946.175,-115.0,5.0,3.0,2.0,-8.055.506,-34.951.693,TRUE
121,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.53,-115.0,5.0,3.0,2.0,-8.055.605,-34.951.728,TRUE
2449,-115.0,-115.0,-115.0,-115.0,-96.33,-9.266.833.333.333.330,-824.533.333.333.333,-78.36,-115.0,5.0,3.0,3.0,-8.055.684,-34.951.331,TRUE
8607,-84.2,-951.142.857.142.857,-96.27,-99.26,-939.625,-913.328.571.428.572,-901.316.666.666.667,-102.204,-87.83,4.0,7.0,2.0,-805.078,-3.495.973,FALSE
1566,-109.088.333.333.333,-107.2,-105.64,-109.54,-105.567.142.857.143,-104.704.285.714.286,-104.23,-104.29,-115.0,5.0,3.0,2.0,-805.538,-34.951.736,TRUE
1984,-98.748,-99.67,-98.61,-97.8,-88.115,-9.068.428.571.428.560,-100.03,-91.585,-115.0,5.0,3.0,3.0,-8.055.494,-34.951.316,TRUE
7113,-951.414.285.714.286,-973.871.428.571.429,-9.384.714.285.714.290,-98.165,-92.91,-9.307.285.714.285.700,-730.316.666.666.667,-90.57,-91.25,5.0,5.0,1.0,-805.552,-34.955.490.000.000.000,FALSE
7362,-89.16,-955.728.571.428.572,-92.97,-948.183.333.333.333,-94.985,-95.79,-83.94,-84.63,-97.28,5.0,4.0,2.0,-805.513,-349.532,FALSE
8507,-947.157.142.857.143,-941.157.142.857.143,-96.98,-77.33,-98.74,-950.342.857.142.857,-978.733.333.333.333,-98.578,-97.6,4.0,1.0,5.0,-8.051.210.000.000.000,-3.494.768,FALSE
3931,-106.07,-115.0,-106.67,-104.161.666.666.667,-973.885.714.285.714,-93.39,-978.142.857.142.857,-942.283.333.333.333,-115.0,5.0,3.0,2.0,-8.055.424,-34.951.597,TRUE
2173,-98.748,-97.35,-99.592,-99.37,-91.935,-9.251.428.571.428.560,-100.03,-96.85,-115.0,5.0,3.0,3.0,-8.055.494,-34.951.316,TRUE
8217,-8.991.857.142.857.140,-91.4,-89.34,-56.64,-78.4,-7.631.142.857.142.850,-903.916.666.666.667,-93.948,-97.6,4.0,1.0,4.0,-805.188,-3.494.808,FALSE
8303,-907.028.571.428.571,-931.957.142.857.143,-92.84,-50.14,-79.525,-94.59,-908.933.333.333.333,-92.3,-97.6,4.0,0.0,5.0,-8.051.739.999.999.990,-3.494.641,FALSE
2333,-98.748,-98.16,-99.592,-98.335,-91.935,-9.251.428.571.428.560,-100.03,-97.63,-115.0,5.0,3.0,3.0,-8.055.494,-34.951.316,TRUE
573,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-940.357.142.857.143,-89.625,-115.0,5.0,3.0,2.0,-8.055.605,-34.951.728,TRUE
8862,-91.33,-9.531.857.142.857.140,-8.525.571.428.571.420,-86.26,-89.33,-84.64,-918.966.666.666.667,-97.358,-953.075,2.0,4.0,3.0,-804.975,-3.495.309,FALSE
8780,-100.74,-96.3,-94.27,-78.82,-944.625,-923.957.142.857.143,-93.315,-95.348,-987.325,3.0,2.0,4.0,-805.016,-3.495.049,FALSE
981,-109.088.333.333.333,-107.2,-107.01,-108.43,-9.865.142.857.142.850,-100.04,-101.13,-97.175,-115.0,5.0,3.0,2.0,-805.538,-34.951.736,TRUE
5316,-105.225,-115.0,-105.21,-115.0,-105.835,-115.0,-86.655,-8.873.571.428.571.430,-108.12,5.0,3.0,2.0,-8.055.784,-34.951.608,TRUE
1407,-109.088.333.333.333,-107.2,-107.148.571.428.571,-1.089.875,-105.637.142.857.143,-104.435.714.285.714,-104.68,-103.915,-115.0,5.0,3.0,2.0,-805.538,-34.951.736,TRUE
535,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-91.13,-89.625,-115.0,5.0,3.0,2.0,-8.055.605,-34.951.728,TRUE
8141,-8.002.285.714.285.700,-927.342.857.142.857,-8.147.714.285.714.290,-93.14,-900.675,-930.814.285.714.286,-914.916.666.666.667,-101.48,-95.605,3.0,3.0,3.0,-805.198,-3.495.218,FALSE
6631,-919.548.809.523.809,-95.8,-97.56,-946.816.666.666.667,-814.455,-7.456.107.142.857.140,-904.619.444.444.444,-916.292.727.272.727,-958.575,7.0,3.0,5.0,-8.059.289.999.999.990,-3.494.704,FALSE
1434,-109.088.333.333.333,-107.2,-107.148.571.428.571,-1.089.875,-104.902.857.142.857,-104.271.428.571.429,-104.68,-106.02,-115.0,5.0,3.0,2.0,-805.538,-34.951.736,TRUE
5970,-103.705,-110.425,-107.381.666.666.667,-110.33,-93.58,-102.44,-96.76,-98.155,-115.0,5.0,3.0,2.0,-8.055.786,-34.951.505,TRUE
2579,-115.0,-115.0,-115.0,-115.0,-96.33,-9.266.833.333.333.330,-836.833.333.333.333,-782.614.285.714.286,-115.0,5.0,3.0,3.0,-8.055.684,-34.951.331,TRUE
9248,-994.185.714.285.714,-8.879.476.190.476.190,-98.16,-84.38,-999.125,-9.748.303.571.428.560,-965.633.333.333.333,-101.648,-96.56,3.0,2.0,6.0,-804.844,-3.494.695,FALSE
1867,-98.748,-99.67,-98.61,-100.51,-865.975,-886.742.857.142.857,-100.03,-99.21,-115.0,5.0,3.0,3.0,-8.055.494,-34.951.316,TRUE
1454,-109.088.333.333.333,-107.2,-107.148.571.428.571,-108.62,-105.087.142.857.143,-104.054.285.714.286,-104.68,-105.125,-115.0,5.0,3.0,2.0,-805.538,-34.951.736,TRUE
3833,-106.07,-115.0,-106.67,-104.161.666.666.667,-962.228.571.428.571,-92.92,-961.257.142.857.143,-948.733.333.333.333,-115.0,5.0,3.0,2.0,-8.055.424,-34.951.597,TRUE
9593,-86.495,-846.152,-88.785,-9.219.785.714.285.700,-91.03,-766.811.111.111.111,-89.904,-743.025,-96.92,3.0,2.0,7.0,-804.648,-3.494.513,FALSE
6443,-103.705,-110.425,-107.381.666.666.667,-110.33,-102.88,-106.59,-102.726.666.666.667,-102.12,-115.0,5.0,3.0,2.0,-8.055.786,-34.951.505,TRUE
2521,-115.0,-115.0,-115.0,-115.0,-96.33,-9.266.833.333.333.330,-824.533.333.333.333,-789.842.857.142.857,-115.0,5.0,3.0,3.0,-8.055.684,-34.951.331,TRUE
9607,-90.545,-87.65,-9.225.357.142.857.140,-958.883.333.333.333,-93.385,-9.116.285.714.285.700,-899.425,-87.88,-946.125,3.0,3.0,6.0,-804.646,-34.946.220.000.000.000,FALSE
1820,-98.748,-99.67,-98.61,-94.85,-905.725,-855.771.428.571.428,-100.03,-96.665,-115.0,5.0,3.0,3.0,-8.055.494,-34.951.316,TRUE
6114,-103.705,-110.425,-107.381.666.666.667,-110.33,-100.74,-93.02,-100.22,-99.005,-115.0,5.0,3.0,2.0,-8.055.786,-34.951.505,TRUE
2929,-115.0,-115.0,-115.0,-115.0,-100.04,-94.59,-874.733.333.333.333,-782.614.285.714.286,-115.0,5.0,3.0,3.0,-8.055.684,-34.951.331,TRUE
51,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-841.133.333.333.333,-115.0,5.0,3.0,2.0,-8.055.605,-34.951.728,TRUE
5528,-105.225,-115.0,-105.21,-115.0,-105.835,-115.0,-92.285,-9.454.428.571.428.560,-108.12,5.0,3.0,2.0,-8.055.784,-34.951.608,TRUE
