,id_ponto,rssi_1_1,rssi_1_2,rssi_1_3,rssi_2_1,rssi_2_2,rssi_2_3,rssi_3_1,rssi_3_2,rssi_3_3,delay_1,delay_2,delay_3,num_lat_bts,num_long_bts,flag_indoor
22,805,,-107.2,-107.01,-108.43,-97.2,,-99.84,-94.665,-115.0,5.0,3.0,2.0,-0.805538,-34.951736,True
23,4315,-106.07,-115.0,-106.67,,,-100.48,,,-115.0,5.0,3.0,2.0,-8.055424,-34.951597,True
24,3132,-103.04,-115.0,-98.56,-115.0,,,-99.255,-93.51,-115.0,5.0,3.0,3.0,-8055833999.99999,-34.951362,True
25,8686,-92.66,,,-95.72,-959.525,-94.54,-87.395,-98.048,-96.6,3.0,4.0,2.0,-8050510000.0,-34953959999.9999,False
26,6203,-103.705,-110.425,,-110.33,-97.085,-104.73,,-99.57,-115.0,5.0,3.0,2.0,-8.055786,-34.951505,True
27,8998,,-99.92,-79.76,,-99.86,,-95.57,,-96.19,3.0,5.0,2.0,-0.804919,-3.495632,False
28,1242,,-107.2,-107.01,-108.43,,,-103.19,-102.11,-115.0,5.0,3.0,2.0,-0.805538,-34.951736,True
29,9437,-99.15,-77.0,,-97.46,-988.375,-97.59,,-101.62,-944.075,2.0,2.0,6.0,-0.804751,-34947590000.0,False
30,7474,,-89.05,-907.325,-85.04,-82.92,-81.86,,-88.486,-963.725,5.0,2.0,3.0,-0.805451,-3.494958,False
31,3382,-100.83,-115.0,-98.56,-115.0,,,-99.255,-98.118,-115.0,5.0,3.0,3.0,-8055833999.99999,-34.951362,True
32,547,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-91.13,-89.625,-115.0,5.0,3.0,2.0,-8.055605,-34.951728,True
33,3519,-107.65,-115.0,-98.56,-115.0,-98.46,,-99.255,-100.394,-115.0,5.0,3.0,3.0,-8055833999.99999,-34.951362,True
34,26,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,,-115.0,5.0,3.0,2.0,-8.055605,-34.951728,True
35,4607,,-115.0,-96.04,-115.0,-98.615,-96.1,-94.42,-90.765,-115.0,5.0,3.0,2.0,-8.055506,-34.951693,True
36,3872,-106.07,-115.0,-106.67,,,-93.39,,,-115.0,5.0,3.0,2.0,-8.055424,-34.951597,True
37,2508,-115.0,-115.0,-115.0,-115.0,-96.33,,,,-115.0,5.0,3.0,3.0,-8.055684,-34.951331,True
38,1433,,-107.2,,,,,-104.68,-106.02,-115.0,5.0,3.0,2.0,-0.805538,-34.951736,True
39,2582,-115.0,-115.0,-115.0,-115.0,-96.33,,,,-115.0,5.0,3.0,3.0,-8.055684,-34.951331,True
40,1302,,-107.2,-107.01,-108.43,,,-103.19,-102.96,-115.0,5.0,3.0,2.0,-0.805538,-34.951736,True
41,6070,-103.705,-110.425,,-110.33,-98.535,-94.52,-98.33,-99.005,-115.0,5.0,3.0,2.0,-8.055786,-34.951505,True
42,6226,-103.705,-110.425,,-110.33,-97.085,-104.73,-102.89,-99.57,-115.0,5.0,3.0,2.0,-8.055786,-34.951505,True
43,4011,-106.07,-115.0,-106.67,,,,,-97.455,-115.0,5.0,3.0,2.0,-8.055424,-34.951597,True
44,1221,,-107.2,-107.01,-108.43,,,-103.065,-102.11,-115.0,5.0,3.0,2.0,-0.805538,-34.951736,True
45,2548,-115.0,-115.0,-115.0,-115.0,-96.33,,,,-115.0,5.0,3.0,3.0,-8.055684,-34.951331,True
46,750,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-97.8,-93.86,-115.0,5.0,3.0,2.0,-8.055605,-34.951728,True
47,437,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,,,-115.0,5.0,3.0,2.0,-8.055605,-34.951728,True
48,4053,-106.07,-115.0,-106.67,,,-95.5,-97.04,,-115.0,5.0,3.0,2.0,-8.055424,-34.951597,True
49,6438,-103.705,-110.425,,-110.33,-104.38,-106.59,,-102.12,-115.0,5.0,3.0,2.0,-8.055786,-34.951505,True
50,2847,-115.0,-115.0,-115.0,-115.0,-96.33,,-81.58,,-115.0,5.0,3.0,3.0,-8.055684,-34.951331,True
51,1173,,-107.2,-107.01,-108.43,,,-103.065,-102.11,-115.0,5.0,3.0,2.0,-0.805538,-34.951736,True
52,6972,,,-90.22,-96.455,-926.075,-93.53,-79.755,-76.532,-92.41,5.0,4.0,1.0,-8055710000.0,-34955009999.9999,False
53,3955,-106.07,-115.0,-106.67,,,-93.39,,,-115.0,5.0,3.0,2.0,-8.055424,-34.951597,True
54,3352,-100.83,-115.0,-98.56,-115.0,,,-99.255,-95.238,-115.0,5.0,3.0,3.0,-8055833999.99999,-34.951362,True
55,9238,-102.25,,-97.515,-82.75,-98.645,,,-101.648,-96.56,3.0,2.0,6.0,-0.804846,-3.494698,False
56,4309,-106.07,-115.0,-106.67,,,-99.5,,,-115.0,5.0,3.0,2.0,-8.055424,-34.951597,True
57,2481,-115.0,-115.0,-115.0,-115.0,-96.33,,,-78.36,-115.0,5.0,3.0,3.0,-8.055684,-34.951331,True
58,4048,-106.07,-115.0,-106.67,,,-95.79,,,-115.0,5.0,3.0,2.0,-8.055424,-34.951597,True
59,8119,-93.58,-97.9,,-78.75,-913.325,,-95.53,-95.396,-93.46,4.0,2.0,3.0,-8052019999.99999,-3.495066,False
60,2706,-115.0,-115.0,-115.0,-115.0,-96.33,,-82.41,,-115.0,5.0,3.0,3.0,-8.055684,-34.951331,True
61,5935,-103.705,-110.425,,-110.33,-93.58,-93.27,-96.76,-98.155,-115.0,5.0,3.0,2.0,-8.055786,-34.951505,True
62,326,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,,,-115.0,5.0,3.0,2.0,-8.055605,-34.951728,True
63,1039,,-107.2,-107.01,-108.43,,,-103.475,-98.24,-115.0,5.0,3.0,2.0,-0.805538,-34.951736,True
64,7709,,,,,-100.04,,-66.855,-86.44,-88.47,5.0,5.0,1.0,-0.805353,-3.495576,False
65,9008,,-87.02,-84.51,-89.52,-91.55,-87.52,,-98.94,-967.675,2.0,4.0,3.0,-0.804914,-3.495301,False
66,2499,-115.0,-115.0,-115.0,-115.0,-96.33,,,,-115.0,5.0,3.0,3.0,-8.055684,-34.951331,True
67,7839,-95.73,,,-100.57,-102.53,,,-99.518,-97.765,4.0,4.0,2.0,-0.805284,-3.495384,False
68,2861,-115.0,-115.0,-115.0,-115.0,-96.33,,,,-115.0,5.0,3.0,3.0,-8.055684,-34.951331,True
69,1870,-98.748,-99.67,-98.61,-100.51,-894.275,,-100.03,-99.21,-115.0,5.0,3.0,3.0,-8.055494,-34.951316,True
70,8462,-90.66,,,-91.53,-88.7,-91.72,,-93.176,-951.975,3.0,3.0,3.0,-0.805135,-0.349515,False
71,8012,,,,-63.04,,,,-90.792,-97.6,4.0,1.0,4.0,-0.805222,-3.494809,False
72,534,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-91.13,-89.625,-115.0,5.0,3.0,2.0,-8.055605,-34.951728,True
73,5687,-105.225,-115.0,-105.21,-115.0,-105.835,-115.0,-93.005,,-108.12,5.0,3.0,2.0,-8.055784,-34.951608,True
74,8625,,-97.9,-94.76,-65.19,-84.57,,-96.955,-97.98,-989.125,3.0,1.0,5.0,-0.805071,-0.349477,False
75,585,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,,-89.625,-115.0,5.0,3.0,2.0,-8.055605,-34.951728,True
76,9595,,-926.825,-94.9,-92.28,-909.375,-89.28,,-79.366,-96.92,3.0,3.0,7.0,-0.804647,-3.494539,False
77,4128,-106.07,-115.0,-106.67,,,-95.5,-99.94,,-115.0,5.0,3.0,2.0,-8.055424,-34.951597,True
78,5007,,-115.0,-104.04,-115.0,-102.425,-98.425,-96.98,-995.725,-115.0,5.0,3.0,2.0,-8.055506,-34.951693,True
79,1703,-98.748,-99.67,-98.61,-95.98,-81.925,,-100.03,-95.755,-115.0,5.0,3.0,3.0,-8.055494,-34.951316,True
80,3918,-106.07,-115.0,-106.67,,-93.29,-93.39,,-94.99,-115.0,5.0,3.0,2.0,-8.055424,-34.951597,True
81,5905,-103.705,-110.425,,-110.33,-93.58,-90.51,-96.76,-98.155,-115.0,5.0,3.0,2.0,-8.055786,-34.951505,True
82,491,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,,-90.7,-115.0,5.0,3.0,2.0,-8.055605,-34.951728,True
83,5627,-105.225,-115.0,-105.21,-115.0,-105.835,-115.0,-91.445,-98.55,-108.12,5.0,3.0,2.0,-8.055784,-34.951608,True
84,5107,-105.225,-115.0,-105.21,-115.0,-105.835,-115.0,-87.315,,-108.12,5.0,3.0,2.0,-8.055784,-34.951608,True
85,2836,-115.0,-115.0,-115.0,-115.0,-96.33,,,,-115.0,5.0,3.0,3.0,-8.055684,-34.951331,True
86,2266,-98.748,-97.35,-99.592,-96.86,-91.935,,-100.03,-101.03,-115.0,5.0,3.0,3.0,-8.055494,-34.951316,True
87,7794,-80.33,,-95.91,,-961.425,,-60.47,-85.818,-86.66,4.0,5.0,1.0,-0.805305,-3.495562,False
88,6429,-103.705,-110.425,,-110.33,-104.38,-106.59,,-102.12,-115.0,5.0,3.0,2.0,-8.055786,-34.951505,True
89,6041,-103.705,-110.425,,-110.33,-90.51,-99.03,-98.33,-98.155,-115.0,5.0,3.0,2.0,-8.055786,-34.951505,True
90,7803,,,,-68.29,-820.125,-80.86,,-91.176,-97.255,4.0,1.0,4.0,-0.805299,-3.494873,False
91,6999,,,,-99.79,-94.97,-91.45,,-71.778,-92.655,5.0,4.0,1.0,-0.805565,-3.495389,False
92,2900,-115.0,-115.0,-115.0,-115.0,-96.33,-94.59,-91.285,,-115.0,5.0,3.0,3.0,-8.055684,-34.951331,True
93,7942,-92.16,,,-70.08,-785.975,-84.27,-87.08,-93.01,-97.255,4.0,1.0,4.0,-0.805233,-3.494836,False
94,2944,-115.0,-115.0,-115.0,-115.0,-100.04,-94.59,,,-115.0,5.0,3.0,3.0,-8.055684,-34.951331,True
95,1916,-98.748,-99.67,-98.61,-95.6,-912.725,,-100.03,-99.21,-115.0,5.0,3.0,3.0,-8.055494,-34.951316,True
96,3126,-103.04,-115.0,-98.56,-115.0,,,-99.255,-93.51,-115.0,5.0,3.0,3.0,-8055833999.99999,-34.951362,True
97,5403,-105.225,-115.0,-105.21,-115.0,-105.835,-115.0,-92.035,,-108.12,5.0,3.0,2.0,-8.055784,-34.951608,True
98,6753,-85.72,,,,-89.5,,,-73.742,-89.66,6.0,4.0,1.0,-0.805713,-3.495415,False
99,3813,-106.07,-115.0,-106.67,,,-92.92,-97.43,,-115.0,5.0,3.0,2.0,-8.055424,-34.951597,True
100,9636,,,,-95.48,-103.015,,-91.69,,-946.125,2.0,3.0,6.0,-8046439999.99999,-3.494671,False
101,3991,-106.07,-115.0,-106.67,,,,,,-115.0,5.0,3.0,2.0,-8.055424,-34.951597,True
102,8284,,,,-58.5,-723.875,-82.44,-93.62,-97.924,-97.6,4.0,1.0,4.0,-0.805178,-3.494783,False
103,2518,-115.0,-115.0,-115.0,-115.0,-96.33,,,,-115.0,5.0,3.0,3.0,-8.055684,-34.951331,True
104,397,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-91.24,,-115.0,5.0,3.0,2.0,-8.055605,-34.951728,True
105,1317,,-107.2,-107.01,-108.43,,,-104.68,-102.96,-115.0,5.0,3.0,2.0,-0.805538,-34.951736,True
106,4665,-101.28,-115.0,-100.06,-115.0,-98.615,-96.1,-94.42,-946.175,-115.0,5.0,3.0,2.0,-8.055506,-34.951693,True
107,121,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.53,-115.0,5.0,3.0,2.0,-8.055605,-34.951728,True
108,2449,-115.0,-115.0,-115.0,-115.0,-96.33,,,-78.36,-115.0,5.0,3.0,3.0,-8.055684,-34.951331,True
109,8607,-84.2,,-96.27,-99.26,-939.625,,,-102.204,-87.83,4.0,7.0,2.0,-0.805078,-3.495973,False
110,1566,,-107.2,-105.64,-109.54,,,-104.23,-104.29,-115.0,5.0,3.0,2.0,-0.805538,-34.951736,True
111,1984,-98.748,-99.67,-98.61,-97.8,-88.115,,-100.03,-91.585,-115.0,5.0,3.0,3.0,-8.055494,-34.951316,True
112,7113,,,,-98.165,-92.91,,,-90.57,-91.25,5.0,5.0,1.0,-0.805552,-34955490000.0,False
113,7362,-89.16,,-92.97,,-94.985,-95.79,-83.94,-84.63,-97.28,5.0,4.0,2.0,-0.805513,-0.349532,False
114,8507,,,-96.98,-77.33,-98.74,,,-98.578,-97.6,4.0,1.0,5.0,-8051210000.0,-3.494768,False
115,3931,-106.07,-115.0,-106.67,,,-93.39,,,-115.0,5.0,3.0,2.0,-8.055424,-34.951597,True
116,2173,-98.748,-97.35,-99.592,-99.37,-91.935,,-100.03,-96.85,-115.0,5.0,3.0,3.0,-8.055494,-34.951316,True
117,8217,,-91.4,-89.34,-56.64,-78.4,,,-93.948,-97.6,4.0,1.0,4.0,-0.805188,-3.494808,False
118,8303,,,-92.84,-50.14,-79.525,-94.59,,-92.3,-97.6,4.0,0.0,5.0,-8051739999.99999,-3.494641,False
119,2333,-98.748,-98.16,-99.592,-98.335,-91.935,,-100.03,-97.63,-115.0,5.0,3.0,3.0,-8.055494,-34.951316,True
120,573,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,,-89.625,-115.0,5.0,3.0,2.0,-8.055605,-34.951728,True
121,8862,-91.33,,,-86.26,-89.33,-84.64,,-97.358,-953.075,2.0,4.0,3.0,-0.804975,-3.495309,False
122,8780,-100.74,-96.3,-94.27,-78.82,-944.625,,-93.315,-95.348,-987.325,3.0,2.0,4.0,-0.805016,-3.495049,False
123,981,,-107.2,-107.01,-108.43,,-100.04,-101.13,-97.175,-115.0,5.0,3.0,2.0,-0.805538,-34.951736,True
124,5316,-105.225,-115.0,-105.21,-115.0,-105.835,-115.0,-86.655,,-108.12,5.0,3.0,2.0,-8.055784,-34.951608,True
125,1407,,-107.2,,,,,-104.68,-103.915,-115.0,5.0,3.0,2.0,-0.805538,-34.951736,True
126,535,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-91.13,-89.625,-115.0,5.0,3.0,2.0,-8.055605,-34.951728,True
127,8141,,,,-93.14,-900.675,,,-101.48,-95.605,3.0,3.0,3.0,-0.805198,-3.495218,False
128,6631,,-95.8,-97.56,,-814.455,,,,-958.575,7.0,3.0,5.0,-8059289999.99999,-3.494704,False
129,1434,,-107.2,,,,,-104.68,-106.02,-115.0,5.0,3.0,2.0,-0.805538,-34.951736,True
130,5970,-103.705,-110.425,,-110.33,-93.58,-102.44,-96.76,-98.155,-115.0,5.0,3.0,2.0,-8.055786,-34.951505,True
131,2579,-115.0,-115.0,-115.0,-115.0,-96.33,,,,-115.0,5.0,3.0,3.0,-8.055684,-34.951331,True
132,9248,,,-98.16,-84.38,-999.125,,,-101.648,-96.56,3.0,2.0,6.0,-0.804844,-3.494695,False
133,1867,-98.748,-99.67,-98.61,-100.51,-865.975,,-100.03,-99.21,-115.0,5.0,3.0,3.0,-8.055494,-34.951316,True
134,1454,,-107.2,,-108.62,,,-104.68,-105.125,-115.0,5.0,3.0,2.0,-0.805538,-34.951736,True
135,3833,-106.07,-115.0,-106.67,,,-92.92,,,-115.0,5.0,3.0,2.0,-8.055424,-34.951597,True
136,9593,-86.495,-846.152,-88.785,,-91.03,,-89.904,-743.025,-96.92,3.0,2.0,7.0,-0.804648,-3.494513,False
137,6443,-103.705,-110.425,,-110.33,-102.88,-106.59,,-102.12,-115.0,5.0,3.0,2.0,-8.055786,-34.951505,True
138,2521,-115.0,-115.0,-115.0,-115.0,-96.33,,,,-115.0,5.0,3.0,3.0,-8.055684,-34.951331,True
139,9607,-90.545,-87.65,,,-93.385,,-899.425,-87.88,-946.125,3.0,3.0,6.0,-0.804646,-34946220000.0,False
140,1820,-98.748,-99.67,-98.61,-94.85,-905.725,,-100.03,-96.665,-115.0,5.0,3.0,3.0,-8.055494,-34.951316,True
141,6114,-103.705,-110.425,,-110.33,-100.74,-93.02,-100.22,-99.005,-115.0,5.0,3.0,2.0,-8.055786,-34.951505,True
142,2929,-115.0,-115.0,-115.0,-115.0,-100.04,-94.59,,,-115.0,5.0,3.0,3.0,-8.055684,-34.951331,True
143,51,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,,-115.0,5.0,3.0,2.0,-8.055605,-34.951728,True
144,5528,-105.225,-115.0,-105.21,-115.0,-105.835,-115.0,-92.285,,-108.12,5.0,3.0,2.0,-8.055784,-34.951608,True
145,8508,,,-93.21,-99.26,-932.875,,,-99.194,-81.33,5.0,7.0,2.0,-0.080512,-3.495983,False
146,6518,-103.705,-110.425,,-110.33,-107.18,-106.59,,-102.12,-115.0,5.0,3.0,2.0,-8.055786,-34.951505,True
147,469,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,,-91.535,-115.0,5.0,3.0,2.0,-8.055605,-34.951728,True
148,2629,-115.0,-115.0,-115.0,-115.0,-96.33,,,,-115.0,5.0,3.0,3.0,-8.055684,-34.951331,True
149,4825,,-115.0,-98.49,-115.0,-103.315,-101.13,-100.81,-99.32,-115.0,5.0,3.0,2.0,-8.055506,-34.951693,True
150,6945,-92.28,,,-78.08,-72.4,,,-93.204,-963.725,5.0,3.0,3.0,-8055810000.0,-3.495078,False
151,3445,-100.83,-115.0,-98.56,-115.0,,,-99.255,-99.47,-115.0,5.0,3.0,3.0,-8055833999.99999,-34.951362,True
152,7503,,,,,,-98.22,,-79.06,-95.28,5.0,5.0,0.0,-0.805444,-0.349562,False
153,6821,,,,-86.09,-84.96,,,-90.598,-95.73,6.0,3.0,3.0,-0.805638,-3.495068,False
154,1858,-98.748,-99.67,-98.61,-100.51,-865.975,-877.175,-100.03,-99.21,-115.0,5.0,3.0,3.0,-8.055494,-34.951316,True
155,9227,-77.32,,-79.0,-86.26,-90.025,-89.2,,-98.012,-97.755,2.0,3.0,4.0,-0.804847,-3.495197,False
156,865,,-107.2,-107.01,-108.43,-97.2,,-99.84,-94.665,-115.0,5.0,3.0,2.0,-0.805538,-34.951736,True
157,4661,-101.28,-115.0,-100.06,-115.0,-98.615,-96.1,-94.42,-946.175,-115.0,5.0,3.0,2.0,-8.055506,-34.951693,True
158,6712,,,,-95.91,-77.914,,-92.33,-87.32,-962.325,6.0,3.0,3.0,-0.805821,-3.495063,False
159,9475,-97.59,-90.01,-96.71,-88.76,-988.375,,,-102.314,-944.075,2.0,2.0,6.0,-0.804729,-3.494757,False
160,7496,,,,-95.72,-100.225,,,-88.24,-61.29,6.0,6.0,0.0,-0.805445,-0.349594,False
161,4111,-106.07,-115.0,-106.67,,,-95.5,,,-115.0,5.0,3.0,2.0,-8.055424,-34.951597,True
162,5817,-105.225,-115.0,-105.21,-115.0,-105.835,-115.0,-97.965,,-108.12,5.0,3.0,2.0,-8.055784,-34.951608,True
163,7176,,,-96.02,,-92.635,-92.61,,-768.764,-89.58,5.0,5.0,0.0,-0.805545,-3.495613,False
164,425,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,,,-115.0,5.0,3.0,2.0,-8.055605,-34.951728,True
165,188,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-86.49,-115.0,5.0,3.0,2.0,-8.055605,-34.951728,True
166,5239,-105.225,-115.0,-105.21,-115.0,-105.835,-115.0,-94.455,,-108.12,5.0,3.0,2.0,-8.055784,-34.951608,True
167,4024,-106.07,-115.0,-106.67,,,-95.5,-98.79,,-115.0,5.0,3.0,2.0,-8.055424,-34.951597,True
168,228,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-97.23,-115.0,5.0,3.0,2.0,-8.055605,-34.951728,True
169,3660,-106.07,-115.0,-106.67,,,-92.92,,,-115.0,5.0,3.0,2.0,-8.055424,-34.951597,True
170,4421,,-115.0,-96.04,-115.0,-96.79,-96.1,-94.42,-86.09,-115.0,5.0,3.0,2.0,-8.055506,-34.951693,True
171,2741,-115.0,-115.0,-115.0,-115.0,-96.33,,,,-115.0,5.0,3.0,3.0,-8.055684,-34.951331,True
172,1041,,-107.2,-107.01,-108.43,,,-103.475,-99.12,-115.0,5.0,3.0,2.0,-0.805538,-34.951736,True
173,8844,-98.47,,,-82.38,-947.475,-100.23,,-96.632,-987.325,3.0,3.0,4.0,-0.804984,-3.495043,False
174,6332,-103.705,-110.425,,-110.33,-98.065,-105.56,-99.48,-101.46,-115.0,5.0,3.0,2.0,-8.055786,-34.951505,True
175,5696,-105.225,-115.0,-105.21,-115.0,-105.835,-115.0,-93.005,,-108.12,5.0,3.0,2.0,-8.055784,-34.951608,True
176,471,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,,-91.535,-115.0,5.0,3.0,2.0,-8.055605,-34.951728,True
177,2921,-115.0,-115.0,-115.0,-115.0,-100.04,-94.59,,,-115.0,5.0,3.0,3.0,-8.055684,-34.951331,True
178,1905,-98.748,-99.67,-98.61,-98.49,-887.725,-90.56,-100.03,-99.21,-115.0,5.0,3.0,3.0,-8.055494,-34.951316,True
179,8586,-77.33,-994.125,-83.55,,-94.67,,,-97.102,-90.47,3.0,4.0,2.0,-0.805091,-0.034955,False
180,801,,-107.2,-107.01,-108.43,-97.2,,-99.84,-94.665,-115.0,5.0,3.0,2.0,-0.805538,-34.951736,True
181,1487,,-107.2,,,,,-104.425,-105.125,-115.0,5.0,3.0,2.0,-0.805538,-34.951736,True
182,8112,,,,-83.44,-90.49,,-101.85,-96.93,-95.605,4.0,3.0,3.0,-8052019999.99999,-3.495125,False
183,227,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,,-115.0,5.0,3.0,2.0,-8.055605,-34.951728,True
184,1128,,-107.2,-107.01,-108.43,,,-103.065,-100.79,-115.0,5.0,3.0,2.0,-0.805538,-34.951736,True
185,4720,-101.28,-115.0,-98.49,-115.0,-99.34,-93.73,-98.74,-98.66,-115.0,5.0,3.0,2.0,-8.055506,-34.951693,True
186,7713,,,-82.03,,-985.225,-89.53,-78.955,-93.052,-68.66,5.0,6.0,1.0,-8053519999.99999,-3.495967,False
187,2208,-98.748,-97.35,-99.592,-97.74,-91.935,,-100.03,-96.85,-115.0,5.0,3.0,3.0,-8.055494,-34.951316,True
188,3844,-106.07,-115.0,-106.67,,,,,,-115.0,5.0,3.0,2.0,-8.055424,-34.951597,True
189,8610,-93.95,,-92.08,-92.64,-899.875,-81.13,-92.64,-94.976,-965.925,3.0,2.0,4.0,-0.805077,-34950540000.0,False
190,7962,,,,-62.79,-80.67,,-91.165,-95.178,-97.6,4.0,1.0,5.0,-0.805227,-3.494712,False
191,4139,-106.07,-115.0,-106.67,,,,,,-115.0,5.0,3.0,2.0,-8.055424,-34.951597,True
192,7578,,,,,-101.565,-95.78,-66.046,-88.874,-871.275,5.0,5.0,0.0,-0.805419,-3.495715,False
193,9291,-81.936,,-75.76,,,-90.2,-84.17,-106.544,-87.77,3.0,7.0,3.0,-0.804827,-3.495906,False
194,2144,-98.748,-106.79,-98.396,-98.11,-89.395,,-100.03,-95.44,-115.0,5.0,3.0,3.0,-8.055494,-34.951316,True
195,9412,-95.14,-81.36,,-90.45,-98.25,-96.33,,-100.936,-944.075,2.0,2.0,5.0,-0.804774,-34947590000.0,False
196,5955,-103.705,-110.425,,-110.33,-93.58,-93.27,-96.76,-98.155,-115.0,5.0,3.0,2.0,-8.055786,-34.951505,True
197,3668,-106.07,-115.0,-106.67,,,-92.92,,,-115.0,5.0,3.0,2.0,-8.055424,-34.951597,True
198,2577,-115.0,-115.0,-115.0,-115.0,-96.33,,,,-115.0,5.0,3.0,3.0,-8.055684,-34.951331,True
199,1632,-98.748,-99.67,-98.61,-95.98,-81.785,-81.15,-100.03,-95.755,-115.0,5.0,3.0,3.0,-8.055494,-34.951316,True
200,9528,-81.01,-69.45,,-93.56,-936.175,-91.21,-90.0,-99.034,-944.075,1.0,3.0,5.0,-0.008047,-34950590000.0,False
201,7342,,,,-96.21,-90.89,,,-80.63,-967.625,5.0,3.0,2.0,-0.805517,-3.495251,False
202,4684,-101.28,-115.0,-100.06,-115.0,-98.615,-96.1,-98.74,-96.575,-115.0,5.0,3.0,2.0,-8.055506,-34.951693,True
203,156,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,,-115.0,5.0,3.0,2.0,-8.055605,-34.951728,True
204,4439,,-115.0,-96.04,-115.0,-96.79,-96.1,-94.42,-88.735,-115.0,5.0,3.0,2.0,-8.055506,-34.951693,True
205,6247,-103.705,-110.425,,-110.33,-98.065,-104.73,-100.24,-99.57,-115.0,5.0,3.0,2.0,-8.055786,-34.951505,True
